Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),CD11B,CD11B Density,CD11B LP,CD11B LP Density
2d,LPS,C,B,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_CS_B.nd2,128953,0.128953,,,27,209.378610811691,6,46.5285801803758
2d,LPS,C,N,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_CS_N.nd2,8093,0.008093,,,0,0,0,0
2d,LPS,C,T,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_CS_T.nd2,75536,0.075536,,,0,0,0,0
2d,LPS,C,M,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,57218,0.057218,,,0,0,3,52.4310531650879
2d,LPS,C,X,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,65882,0.065882,,,0,0,11,166.965180170608
2d,LPS,T,M,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,58440,0.05844,,,0,0,8,136.892539356605
2d,LPS,T,X,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,46025,0.046025,,,8,173.818576860402,25,543.183052688756
2d,LPS,T,B,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_TS_B.nd2,121155,0.121155,,,88,726.342288803599,48,396.186702983781
2d,LPS,T,N,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_TS_N.nd2,66189,0.066189,,,0,0,0,0
2d,LPS,T,T,20260311_LPS_2d_gCD11C_rCD11B_frNQO1_20x_TS_T.nd2,130681,0.130681,,,36,275.479985613823,27,206.609989210367
5d,LPS,C,B,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_CS_B.nd2,123534,0.123534,,,11,89.0443116874707,75,607.120306960027
5d,LPS,C,N,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_CS_N.nd2,86274,0.086274,,,0,0,0,0
5d,LPS,C,T,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_CS_T.nd2,101355,0.101355,,,19,187.459918109615,45,443.984016575403
5d,LPS,C,M,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,56227,0.056227,,,0,0,6,106.71029932239
5d,LPS,C,X,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,52560,0.05256,,,18,342.465753424658,12,228.310502283105
5d,LPS,T,M,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,63532,0.063532,,,0,0,4,62.9603979097148
5d,LPS,T,X,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,73595,0.073595,,,43,584.278823289626,93,1263.67280385896
5d,LPS,T,B,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_TS_B.nd2,101300,0.1013,,,60,592.300098716683,125,1233.95853899309
5d,LPS,T,N,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_TS_N.nd2,74173,0.074173,,,1,13.48199479595,7,94.3739635716501
5d,LPS,T,T,20260311_LPS_5d_gCD11C_rCD11B_frNQO1_20x_TS_T.nd2,128439,0.128439,,,25,194.644928721027,75,583.934786163081
6h,LPS,C,B,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_CS_B.nd2,126306,0.126306,,,2,15.834560511773,21,166.262885373616
6h,LPS,C,N,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_CS_N.nd2,24565,0.024565,,,0,0,0,0
6h,LPS,C,T,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_CS_T.nd2,157169,0.157169,,,3,19.0877335861398,4,25.4503114481863
6h,LPS,C,M,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,39268,0.039268,,,0,0,0,0
6h,LPS,C,X,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,33610,0.03361,,,0,0,6,178.518298125558
6h,LPS,T,M,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,26684,0.026684,,,0,0,0,0
6h,LPS,T,X,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,73502,0.073502,,,78,1061.1956137248,24,326.521727299937
6h,LPS,T,B,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_TS_B.nd2,128828,0.128828,,,163,1265.25289533331,67,520.073275995902
6h,LPS,T,N,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_TS_N.nd2,26980,0.02698,,,0,0,0,0
6h,LPS,T,T,20260311_LPS_6h_gCD11C_rCD11B_frNQO1_20x_TS_T.nd2,173258,0.173258,,,209,1206.29350448464,80,461.73914047259
6h,Saline,C,B,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_CS_B.nd2,,0,,,,,,
6h,Saline,C,N,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_CS_N.nd2,,0,,,,,,
6h,Saline,C,T,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_CS_T.nd2,,0,,,,,,
6h,Saline,C,M,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,,0,,,,,,
6h,Saline,C,X,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,,0,,,,,,
6h,Saline,T,M,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_M_N.nd2,,0,,,,,,
6h,Saline,T,X,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_M_X.nd2,,0,,,,,,
6h,Saline,T,B,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_TS_B.nd2,,0,,,,,,
6h,Saline,T,N,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_TS_N.nd2,,0,,,,,,
6h,Saline,T,T,20260311_Saline_6h_gCD11C_rCD11B_frNQO1_20x_TS_T.nd2,,0,,,,,,