FileName,Area (microns^2),Area (mm^2),Ki67 Count,Ki67 Density,ASCL1 SP Count,ASCL1 DP Count,ASCL1 Total Count,ASCL1 Density,Ki67 % which is ASCL1 Pos,Cytokeratin 5 Overlap Count,CK5 Overlap % of Ki67
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_C_DM.nd2,127892,0.127892,100,781.91,14,65,79,617.71,79,1,1
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_C_DR.nd2,82498,0.082498,35,424.25,0,21,21,254.55,60,0,0
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_C_VLA.nd2,77472,0.077472,67,864.83,0,2,2,25.82,2.99,1,1.49
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_C_VLB.nd2,155059,0.155059,119,767.45,5,56,61,393.4,51.26,1,0.84
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_C_VM.nd2,100782,0.100782,59,585.42,2,20,22,218.29,37.29,1,1.69
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_T_DM.nd2,127744,0.127744,58,454.03,1,28,29,227.02,50,1,1.72
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_T_DR.nd2,56507,0.056507,15,265.45,0,8,8,141.58,53.33,0,0
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_T_VLA.nd2,108966,0.108966,50,458.86,0,5,5,45.89,10,11,22
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_T_VLB.nd2,148623,0.148623,30,201.85,0,4,4,26.91,13.33,9,30
20260505_LPS_2d_gKi67_rCK5_frASCL1_20x_T_VM.nd2,129033,0.129033,43,333.25,0,16,16,124,37.21,4,9.3
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_C_DM.nd2,108546,0.108546,21,193.47,0,5,5,46.06,23.81,1,4.76
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_C_DR.nd2,53675,0.053675,42,782.49,0,12,12,223.57,28.57,3,7.14
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_C_VLA.nd2,125429,0.125429,170,1355.35,0,55,55,438.5,32.35,9,5.29
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_C_VLB.nd2,172702,0.172702,250,1447.58,0,85,85,492.18,34,8,3.2
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_C_VM.nd2,116416,0.116416,130,1116.68,0,59,59,506.8,45.38,3,2.31
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_T_DM.nd2,132685,0.132685,48,361.76,0,27,27,203.49,56.25,1,2.08
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_T_DR.nd2,53971,0.053971,21,389.1,0,11,11,203.81,52.38,0,0
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_T_VLA.nd2,91212,0.091212,122,1337.54,0,6,6,65.78,4.92,2,1.64
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_T_VLB.nd2,116260,0.11626,150,1290.21,3,9,12,103.22,8,3,2
20260505_LPS_5d_gKi67_rCK5_frASCL1_20x_T_VM.nd2,119116,0.119116,139,1166.93,0,28,28,235.06,20.14,6,4.32
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_C_DM.nd2,167209,0.167209,85,508.35,N/A,N/A,,,,2,2.35
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_C_DR.nd2,79185,0.079185,31,391.49,N/A,N/A,,,,0,0
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_C_VLA.nd2,163747,0.163747,112,683.98,N/A,N/A,,,,5,4.46
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_C_VLB.nd2,187249,0.187249,142,758.35,N/A,N/A,,,,1,0.7
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_C_VM.nd2,105397,0.105397,78,740.06,N/A,N/A,,,,0,0
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_T_DM.nd2,160077,0.160077,114,712.16,N/A,N/A,,,,17,14.91
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_T_DR.nd2,112620,0.11262,54,479.49,N/A,N/A,,,,8,14.81
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_T_VLA.nd2,77047,0.077047,60,778.75,N/A,N/A,,,,4,6.67
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_T_VLB.nd2,157931,0.157931,159,1006.77,N/A,N/A,,,,7,4.4
20260512_LPS_6h_gKi67_rCK5_frASCL1_20x_T_VM.nd2,83563,0.083563,69,825.72,N/A,N/A,,,,7,10.14
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_C_DM.nd2,62719,0.062719,65,1036.37,0,29,29,462.38,44.62,2,3.08
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_C_DR.nd2,77654,0.077654,58,746.9,0,29,29,373.45,50,2,3.45
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_C_VLA.nd2,196373,0.196373,315,1604.09,0,154,154,784.22,48.89,4,1.27
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_C_VLB.nd2,155703,0.155703,193,1239.54,0,118,118,757.85,61.14,0,0
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_C_VM.nd2,128560,0.12856,167,1299,0,86,86,668.95,51.5,5,2.99
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_T_DM.nd2,108013,0.108013,76,703.62,0,48,48,444.39,63.16,0,0
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_T_DR.nd2,96948,0.096948,39,402.28,0,25,25,257.87,64.1,2,5.13
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_T_VLA.nd2,133449,0.133449,168,1258.91,0,105,105,786.82,62.5,2,1.19
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_T_VLB.nd2,147050,0.14705,222,1509.69,0,140,140,952.06,63.06,0,0
20260505_Saline_6h_gKi67_rCK5_frASCL1_20x_T_VM.nd2,138921,0.138921,176,1266.91,0,129,129,928.59,73.3,1,0.57