Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),CD3 Count,CD3 Density,CD3 LP Count,CD3 LP Density,EGR1 Count,EGR1 Density,EGR1 LP Density
2d,PolyIC,C,DM,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_C_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
2d,PolyIC,C,DR,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_C_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
2d,PolyIC,C,VLA,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_C_VLA.nd2,154357,0.154357,107904,0.107904,4,25.9139527199933,16,148.279952550415,9,58.3063936199848,0
2d,PolyIC,C,VLB,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_C_VLB.nd2,159289,0.159289,118764,0.118764,1,6.27789740660058,17,143.141019164056,3,18.8336922198017,0
2d,PolyIC,C,VM,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_C_VM.nd2,119576,0.119576,84712,0.084712,0,0,14,165.265841911418,16,133.806114939453,0
2d,PolyIC,T,DM,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_T_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
2d,PolyIC,T,DR,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_T_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
2d,PolyIC,T,VLA,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_T_VLA.nd2,151483,0.151483,86956,0.086956,6,39.6084049035205,40,460.00276001656,25,165.035020431336,0
2d,PolyIC,T,VLB,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_T_VLB.nd2,128196,0.128196,83278,0.083278,1,7.80055539954445,9,108.071759648407,0,0,0
2d,PolyIC,T,VM,20260527_PolyIC_2d_gCD3_rEGR1_frNQO1_20x_T_VM.nd2,127844,0.127844,86022,0.086022,7,54.7542317199086,43,499.872125735277,19,148.618628954038,0
5d,PolyIC,C,DM,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_C_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
5d,PolyIC,C,DR,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_C_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
5d,PolyIC,C,VLA,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_C_VLA.nd2,144199,0.144199,103899,0.103899,0,0,16,153.995707369657,12,83.2183302242041,0
5d,PolyIC,C,VLB,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_C_VLB.nd2,197723,0.197723,123479,0.123479,1,5.05758055461428,14,113.379603009419,4,20.2303222184571,0
5d,PolyIC,C,VM,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_C_VM.nd2,114086,0.114086,112638,0.112638,2,17.5306347842855,18,159.803973792148,4,35.0612695685711,0
5d,PolyIC,T,DM,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_T_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
5d,PolyIC,T,DR,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_T_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
5d,PolyIC,T,VLA,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_T_VLA.nd2,127656,0.127656,147795,0.147795,3,23.5006580184245,15,101.491931391454,1,7.83355267280817,0
5d,PolyIC,T,VLB,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_T_VLB.nd2,132221,0.132221,89657,0.089657,2,15.1261902420947,10,111.536187916169,3,22.689285363142,0
5d,PolyIC,T,VM,20260527_PolyIC_5d_gCD3_rEGR1_frNQO1_20x_T_VM.nd2,161694,0.161694,136609,0.136609,6,37.1071282793425,28,204.964533815488,10,61.8452137989041,0
6h,PolyIC,C,DM,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_C_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
6h,PolyIC,C,DR,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_C_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
6h,PolyIC,C,VLA,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_C_VLA.nd2,164547,0.164547,116729,0.116729,4,24.309163947079,18,154.203325651723,0,0,0
6h,PolyIC,C,VLB,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_C_VLB.nd2,133137,0.133137,119886,0.119886,0,0,10,83.4125752798492,3,22.5331801077086,0
6h,PolyIC,C,VM,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_C_VM.nd2,168325,0.168325,118641,0.118641,0,0,12,101.145472475788,12,71.290657953364,0
6h,PolyIC,T,DM,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_T_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
6h,PolyIC,T,DR,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_T_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
6h,PolyIC,T,VLA,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_T_VLA.nd2,154962,0.154962,177065,0.177065,3,19.3595849304991,44,248.496314912603,15,96.7979246524955,0
6h,PolyIC,T,VLB,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_T_VLB.nd2,138654,0.138654,92308,0.092308,0,0,6,64.9997833340556,0,0,0
6h,PolyIC,T,VM,20260527_PolyIC_6h_gCD3_rEGR1_frNQO1_20x_T_VM.nd2,133957,0.133957,70013,0.070013,0,0,20,285.661234342194,0,0,0
6h,PolyIC,C,DM,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_C_DM.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
8d,PolyIC,C,DR,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_C_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
8d,PolyIC,C,VLA,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_C_VLA.nd2,122416,0.122416,139113,0.139113,13,106.195268592341,17,122.202813540072,12,98.0264017775454,0
8d,PolyIC,C,VLB,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_C_VLB.nd2,102485,0.102485,66542,0.066542,11,107.332780406889,32,480.899281656698,2,19.5150509830707,0
8d,PolyIC,C,VM,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_C_VM.nd2,156393,0.156393,93626,0.093626,4,25.5765923027245,8,85.4463503727597,2,12.7882961513623,0
8d,PolyIC,T,DM,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_T_DM.nd2,93605,0.093605,1,0.000001,0,0,0,0,1,10.6831900005342,0
8d,PolyIC,T,DR,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_T_DR.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0
8d,PolyIC,T,VLA,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_T_VLA.nd2,117468,0.117468,129815,0.129815,16,136.207307522049,4,30.8130801525247,10,85.1295672012803,0
8d,PolyIC,T,VLB,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_T_VLB.nd2,136382,0.136382,90322,0.090322,5,36.6617295537534,23,254.644494143177,1,7.33234591075069,0
8d,PolyIC,T,VM,20260527_PolyIC_8d_gCD3_rEGR1_frNQO1_20x_T_VM.nd2,177093,0.177093,127924,0.127924,1,5.64675057738025,20,156.342828554454,4,22.587002309521,0