Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),CD45 Count,CD45 Density,CD45 LP Count,CD45 LP Density,S100A9 Count,S100A9 Density,S100A9 LP Count,S100A9 LP Density
2d,PolyIC,C,DM,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_C_DM.nd2,120437,0.120437,131784,0.131784,1,8.30309622458215,31,235.233412250349,0,0,1,7.58817458872094
2d,PolyIC,C,DR,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_C_DR.nd2,84995,0.084995,1,0.000001,1,11.7653979645862,0,0,0,0,0,0
2d,PolyIC,C,VLA,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_C_VLA.nd2,163647,0.163647,136392,0.136392,12,73.3285669764799,82,601.208282010675,0,0,28,205.290632881694
2d,PolyIC,C,VLB,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_C_VLB.nd2,156468,0.156468,127260,0.12726,4,25.5643326430964,52,408.612289800409,0,0,9,70.7213578500707
2d,PolyIC,C,VM,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_C_VM.nd2,134593,0.134593,97120,0.09712,14,104.017296590462,64,658.978583196046,0,0,31,319.192751235585
2d,PolyIC,T,DM,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_T_DM.nd2,131259,0.131259,187144,0.187144,0,0,58,309.921771470098,0,0,15,80.1521822767495
2d,PolyIC,T,DR,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_T_DR.nd2,81842,0.081842,141610,0.14161,3,36.6559956990298,27,190.664501094555,0,0,7,49.4315373208107
2d,PolyIC,T,VLA,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_T_VLA.nd2,143314,0.143314,109442,0.109442,65,453.549548543757,108,986.824071197529,1,6.97768536221165,15,137.058898777435
2d,PolyIC,T,VLB,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_T_VLB.nd2,148772,0.148772,97377,0.097377,24,161.320678622321,87,893.434794664038,0,0,18,184.848578206353
2d,PolyIC,T,VM,20260527_PolyIC_2d_gCD45_rS100A9_frNQO1_20x_T_VM.nd2,138178,0.138178,94677,0.094677,11,79.6074628377889,127,1341.40287503829,0,0,16,168.995637800099
5d,PolyIC,C,DM,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_C_DM.nd2,116969,0.116969,123963,0.123963,1,8.54927373919586,34,274.275388624025,1,8.54927373919586,8,64.5353855585941
5d,PolyIC,C,DR,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_C_DR.nd2,66250,0.06625,82560,0.08256,1,15.0943396226415,15,181.686046511628,1,15.0943396226415,8,96.8992248062016
5d,PolyIC,C,VLA,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_C_VLA.nd2,149320,0.14932,106040,0.10604,8,53.5762121618002,71,669.558657110524,0,0,15,141.456054319125
5d,PolyIC,C,VLB,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_C_VLB.nd2,163119,0.163119,101649,0.101649,10,61.3049368865675,70,688.644256215014,0,0,7,68.8644256215014
5d,PolyIC,C,VM,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_C_VM.nd2,86712,0.086712,69592,0.069592,4,46.1297167635391,99,1422.57730773652,0,0,12,172.433613058972
5d,PolyIC,T,DM,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_T_DM.nd2,132542,0.132542,104814,0.104814,4,30.1791130358679,24,228.977045051234,1,7.54477825896697,8,76.3256816837445
5d,PolyIC,T,DR,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_T_DR.nd2,1,0.000001,83683,0.083683,0,0,27,322.646176642807,0,0,7,83.6490087592462
5d,PolyIC,T,VLA,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_T_VLA.nd2,107043,0.107043,74303,0.074303,14,130.788561606084,75,1009.38050953528,0,0,18,242.251322288467
5d,PolyIC,T,VLB,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_T_VLB.nd2,119274,0.119274,90018,0.090018,13,108.992739406744,65,722.07780666089,0,0,2,22.2177786664889
5d,PolyIC,T,VM,20260527_PolyIC_5d_gCD45_rS100A9_frNQO1_20x_T_VM.nd2,128745,0.128745,82844,0.082844,39,302.924385413026,93,1122.59185939839,0,0,8,96.5670416686785
6h,PolyIC,C,DM,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_C_DM.nd2,93744,0.093744,98870,0.09887,2,21.3346987540536,8,80.9143319510468,0,0,1,10.1142914938809
6h,PolyIC,C,DR,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_C_DR.nd2,56507,0.056507,131220,0.13122,1,17.6969225051763,22,167.65736930346,0,0,3,22.8623685413809
6h,PolyIC,C,VLA,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_C_VLA.nd2,151974,0.151974,112215,0.112215,10,65.8007290720781,93,828.76620772624,0,0,30,267.343937976206
6h,PolyIC,C,VLB,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_C_VLB.nd2,166214,0.166214,146670,0.14667,5,30.0817019023668,26,177.268698438672,5,30.0817019023668,6,40.908161178155
6h,PolyIC,C,VM,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_C_VM.nd2,114492,0.114492,73071,0.073071,34,296.963980016071,85,1163.25217938717,5,43.6711735317751,39,533.727470542349
6h,PolyIC,T,DM,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_T_DM.nd2,1,0.000001,153325,0.153325,0,0,20,130.441871840861,0,0,5,32.6104679602152
6h,PolyIC,T,DR,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_T_DR.nd2,1,0.000001,101909,0.101909,0,0,13,127.564788193388,0,0,4,39.2507040595041
6h,PolyIC,T,VLA,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_T_VLA.nd2,113157,0.113157,97533,0.097533,27,238.606537819136,158,1619.96452482749,2,17.6745583569731,16,164.04704048886
6h,PolyIC,T,VLB,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_T_VLB.nd2,153114,0.153114,99267,0.099267,28,182.870279660906,80,805.907300512759,6,39.1864884987656,20,201.47682512819
6h,PolyIC,T,VM,20260527_PolyIC_6h_gCD45_rS100A9_frNQO1_20x_T_VM.nd2,110169,0.110169,73663,0.073663,36,326.770688669226,110,1493.28699618533,6,54.4617814448711,33,447.986098855599
8d,PolyIC,C,DM,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_C_DM.nd2,1,0.000001,30358,0.030358,0,0,6,197.641478358258,0,0,2,65.880492786086
8d,PolyIC,C,DR,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_C_DR.nd2,62876,0.062876,61776,0.061776,2,31.8086392264139,10,161.875161875162,1,15.9043196132069,0,0
8d,PolyIC,C,VLA,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_C_VLA.nd2,136156,0.136156,123975,0.123975,33,242.369047269309,96,774.349667271627,0,0,12,96.7937084089534
8d,PolyIC,C,VLB,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_C_VLB.nd2,124569,0.124569,98295,0.098295,18,144.498229896684,84,854.570425759194,3,24.083038316114,8,81.3876595961137
8d,PolyIC,C,VM,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_C_VM.nd2,117678,0.117678,72867,0.072867,7,59.4843556144734,32,439.156271014314,0,0,8,109.789067753578
8d,PolyIC,T,DM,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_T_DM.nd2,67015,0.067015,59114,0.059114,1,14.9220323808103,13,219.914064350239,1,14.9220323808103,2,33.8329329769598
8d,PolyIC,T,DR,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_T_DR.nd2,1,0.000001,113637,0.113637,0,0,13,114.399359363588,0,0,9,79.1995564824837
8d,PolyIC,T,VLA,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_T_VLA.nd2,56736,0.056736,39792,0.039792,10,176.254935138184,21,527.744270205066,0,0,8,201.045436268597
8d,PolyIC,T,VLB,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_T_VLB.nd2,133555,0.133555,91210,0.09121,7,52.4128636142413,54,592.04034645324,0,0,9,98.67339107554
8d,PolyIC,T,VM,20260527_PolyIC_8d_gCD45_rS100A9_frNQO1_20x_T_VM.nd2,179861,0.179861,111663,0.111663,15,83.3977349175196,61,546.286594485192,0,0,11,98.5106973661822